Destination_state,Origin_state,Total migrants employment
State - JAMMU & KASHMIR (01),Total,"122,587"
State - JAMMU & KASHMIR (01),Last residence within India,"120,785"
State - JAMMU & KASHMIR (01),Within the state of enumeration but outside the place of enumeration,"93,158"
State - JAMMU & KASHMIR (01),Elsewhere in the district of enumeration,"51,485"
State - JAMMU & KASHMIR (01),In other districts of the state of enumeration,"41,673"
State - JAMMU & KASHMIR (01),States in India beyond the state of enumeration,"27,627"
State - JAMMU & KASHMIR (01),Jammu & Kashmir,0
State - JAMMU & KASHMIR (01),Himachal Pradesh,726
State - JAMMU & KASHMIR (01),Punjab,"3,804"
State - JAMMU & KASHMIR (01),Chandigarh,88
State - JAMMU & KASHMIR (01),Uttarakhand,447
State - JAMMU & KASHMIR (01),Haryana,627
State - JAMMU & KASHMIR (01),NCT of Delhi,991
State - JAMMU & KASHMIR (01),Rajasthan,971
State - JAMMU & KASHMIR (01),Uttar Pradesh,"4,393"
State - JAMMU & KASHMIR (01),Bihar,"3,452"
State - JAMMU & KASHMIR (01),Sikkim,28
State - JAMMU & KASHMIR (01),Arunachal Pradesh,27
State - JAMMU & KASHMIR (01),Nagaland,14
State - JAMMU & KASHMIR (01),Manipur,17
State - JAMMU & KASHMIR (01),Mizoram,2
State - JAMMU & KASHMIR (01),Tripura,9
State - JAMMU & KASHMIR (01),Meghalaya,10
State - JAMMU & KASHMIR (01),Assam,256
State - JAMMU & KASHMIR (01),West Bengal,"1,334"
State - JAMMU & KASHMIR (01),Jharkhand,691
State - JAMMU & KASHMIR (01),Odisha,610
State - JAMMU & KASHMIR (01),Chhattisgarh,"4,902"
State - JAMMU & KASHMIR (01),Madhya Pradesh,"2,290"
State - JAMMU & KASHMIR (01),Gujarat,214
State - JAMMU & KASHMIR (01),Daman & Diu,1
State - JAMMU & KASHMIR (01),Dadra & Nagar Haveli,1
State - JAMMU & KASHMIR (01),Maharashtra,569
State - JAMMU & KASHMIR (01),Andhra Pradesh,371
State - JAMMU & KASHMIR (01),Karnataka,233
State - JAMMU & KASHMIR (01),Goa,36
State - JAMMU & KASHMIR (01),Lakshadweep,10
State - JAMMU & KASHMIR (01),Kerala,280
State - JAMMU & KASHMIR (01),Tamil Nadu,210
State - JAMMU & KASHMIR (01),Puducherry,2
State - JAMMU & KASHMIR (01),Andaman & Nicobar Islands,11
State - JAMMU & KASHMIR (01),Last residence outside India,"1,757"
